BUKRS,BLDAT,BUDAT,MATNR,MATKL,TXZ01,MENGE,MEINS,NETWR,WAERS,WERKS,LIFNR,NAME1,KOSTL
ACME,01.03.2024,05.03.2024,DIES-001,FUEL,Diesel fuel for generators,1500.000,L,1875.00,USD,PLANT-01,V10042,Fuels Direct LLC,CC-OPS
ACME,05.03.2024,08.03.2024,NGAS-002,FUEL,Natural gas supply,8200.000,M3,4920.00,USD,PLANT-01,V10018,City Gas Co,CC-OPS
ACME,10.03.2024,12.03.2024,ELEC-003,ELEC,Electricity procurement,45000.000,KWH,4500.00,USD,PLANT-02,V10031,National Grid Corp,CC-FAC
ACME,15.03.2024,18.03.2024,STEEL-004,RAWM,Cold rolled steel coil,22000.000,KG,33000.00,USD,PLANT-01,V10055,SteelTech Industries,CC-PROD
ACME,18.03.2024,20.03.2024,PACK-005,PACK,Corrugated cardboard boxes,5000.000,PC,2500.00,USD,PLANT-02,V10067,EcoPack Ltd,CC-PROD
ACME,20.03.2024,22.03.2024,LPG-006,FUEL,LPG for forklifts,800.000,KG,960.00,USD,PLANT-01,V10042,Fuels Direct LLC,CC-OPS
ACME,22.03.2024,25.03.2024,ALUM-007,RAWM,Aluminium sheet 2mm,9500.000,KG,28500.00,USD,PLANT-02,V10055,SteelTech Industries,CC-PROD
ACME,25.03.2024,27.03.2024,DIES-001,FUEL,Diesel fuel for generators,2100.000,L,2625.00,USD,PLANT-01,V10042,Fuels Direct LLC,CC-OPS
ACME,28.03.2024,30.03.2024,CHEM-008,CHEM,Acetone solvent,450.000,L,1350.00,USD,PLANT-01,V10089,ChemSupply Co,CC-PROD
ACME,01.04.2024,03.04.2024,NGAS-002,FUEL,Natural gas supply,9100.000,M3,5460.00,USD,PLANT-01,V10018,City Gas Co,CC-OPS
ACME,03.04.2024,05.04.2024,ELEC-003,ELEC,Electricity procurement,48000.000,KWH,4800.00,USD,PLANT-02,V10031,National Grid Corp,CC-FAC
ACME,05.04.2024,08.04.2024,DIES-001,FUEL,Diesel fuel for generators,1800.000,L,2250.00,USD,PLANT-01,V10042,Fuels Direct LLC,CC-OPS
ACME,08.04.2024,10.04.2024,WOOD-009,RAWM,Pine lumber 2x4,3200.000,M,6400.00,USD,PLANT-02,V10101,Timber Solutions,CC-PROD
ACME,12.04.2024,15.04.2024,PETROL-010,FUEL,Petrol for company vehicles,600.000,L,780.00,USD,PLANT-01,V10042,Fuels Direct LLC,CC-FLEET
ACME,15.04.2024,17.04.2024,STEEL-004,RAWM,Cold rolled steel coil,18000.000,KG,27000.00,USD,PLANT-01,V10055,SteelTech Industries,CC-PROD
ACME,18.04.2024,20.04.2024,LPG-006,FUEL,LPG for forklifts,950.000,KG,1140.00,USD,PLANT-01,V10042,Fuels Direct LLC,CC-OPS
ACME,20.04.2024,22.04.2024,ELEC-003,ELEC,Electricity procurement,51000.000,KWH,5100.00,USD,PLANT-02,V10031,National Grid Corp,CC-FAC
ACME,22.04.2024,24.04.2024,PACK-005,PACK,Corrugated cardboard boxes,7500.000,PC,3750.00,USD,PLANT-02,V10067,EcoPack Ltd,CC-PROD
ACME,25.04.2024,27.04.2024,CHEM-008,CHEM,Acetone solvent,300.000,L,900.00,USD,PLANT-01,V10089,ChemSupply Co,CC-PROD
ACME,28.04.2024,30.04.2024,NGAS-002,FUEL,Natural gas supply,99999.000,M3,59999.40,USD,PLANT-01,V10018,City Gas Co,CC-OPS
